acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle
-0.071,-0.051,-0.002,-1.438,0.083,0.097,324.5
-0.079,-0.057,-0.002,-1.598,0.092,0.108,324.5
-0.079,-0.057,-0.002,-1.598,0.092,0.108,324.5
-0.079,-0.057,-0.002,-1.598,0.092,0.108,324.5
-0.078,-0.04,-0.007,-1.598,0.093,0.108,324.5
-0.08,-0.017,-0.004,-1.598,0.092,0.11,324.5
-0.04,-0.041,-0.0,-1.601,0.09,0.116,324.5
-0.032,-0.014,0.012,-1.605,0.091,0.123,324.5
0.003,0.041,0.01,-1.606,0.089,0.13,324.5
0.026,0.046,0.004,-1.606,0.082,0.135,324.5
0.026,0.033,-0.012,-1.609,0.077,0.14,324.5
-0.108,0.049,-0.065,-1.609,0.074,0.144,324.5
-0.133,0.049,0.047,-1.612,0.073,0.148,324.5
-0.043,0.055,-0.004,-1.613,0.073,0.151,324.5
-0.017,0.067,-0.001,-1.611,0.064,0.152,324.5
0.032,0.12,0.038,-1.613,0.054,0.153,324.5
0.039,0.146,-0.005,-1.612,0.044,0.153,324.5
0.032,0.135,0.016,-1.612,0.038,0.153,324.5
0.004,0.142,0.008,-1.613,0.028,0.153,324.5
0.026,0.078,0.005,-1.612,0.023,0.152,324.5
0.002,0.103,-0.004,-1.609,0.014,0.151,324.5
-0.025,0.138,-0.004,-1.608,0.012,0.148,324.5
-0.034,0.11,0.017,-1.61,0.014,0.146,324.5
-0.002,0.096,-0.004,-1.611,0.008,0.144,324.5
-0.007,0.087,-0.035,-1.609,0.001,0.142,324.5
-0.053,0.096,-0.029,-1.608,-0.004,0.14,324.5
-0.057,0.106,-0.021,-1.607,-0.016,0.136,324.5
-0.068,0.167,-0.022,-1.606,-0.028,0.132,324.5
0.077,0.159,0.03,-1.606,-0.04,0.126,324.5
0.045,0.194,-0.03,-1.604,-0.051,0.119,324.5
0.041,0.188,-0.01,-1.605,-0.051,0.112,324.5
0.026,0.192,0.026,-1.604,-0.05,0.105,324.5
0.032,0.169,-0.003,-1.602,-0.049,0.098,324.5
-0.019,0.183,-0.019,-1.601,-0.046,0.092,324.5
-0.083,0.111,0.037,-1.601,-0.048,0.086,324.5
-0.036,0.079,0.047,-1.602,-0.051,0.083,324.5
0.043,0.044,-0.014,-1.601,-0.055,0.08,324.5
0.033,0.076,0.017,-1.604,-0.059,0.076,324.5
0.015,0.061,0.0,-1.605,-0.063,0.073,324.5
0.004,0.057,0.016,-1.605,-0.062,0.07,324.5
-0.025,0.038,0.002,-1.604,-0.062,0.069,324.5
0.007,-0.024,0.021,-1.603,-0.061,0.069,324.5
0.044,-0.014,0.016,-1.602,-0.062,0.069,324.5
-0.008,-0.045,0.028,-1.601,-0.068,0.069,324.5
0.03,-0.029,0.011,-1.6,-0.068,0.069,324.5
-0.017,-0.052,0.001,-1.6,-0.066,0.069,324.5
-0.016,-0.033,0.02,-1.602,-0.061,0.071,324.5
-0.035,-0.061,0.009,-1.602,-0.06,0.072,324.5
-0.022,-0.051,0.031,-1.602,-0.06,0.073,324.5
0.009,-0.045,0.018,-1.601,-0.055,0.075,324.5
0.01,-0.066,0.039,-1.601,-0.043,0.077,324.5
0.034,-0.055,0.024,-1.6,-0.041,0.078,324.5
0.058,-0.058,0.022,-1.598,-0.042,0.08,324.5
0.005,-0.044,0.025,-1.6,-0.041,0.082,324.5
-0.007,-0.049,0.022,-1.603,-0.036,0.084,324.5
-0.038,-0.062,0.018,-1.604,-0.03,0.086,324.5
-0.032,-0.033,0.021,-1.603,-0.023,0.09,324.5
-0.008,-0.036,0.016,-1.603,-0.017,0.093,324.5
0.008,-0.092,0.034,-1.603,-0.015,0.097,324.5
0.002,-0.067,0.027,-1.603,-0.016,0.1,324.5
0.033,-0.027,0.032,-1.602,-0.018,0.103,324.5
0.029,-0.019,0.034,-1.606,-0.016,0.105,324.5
0.088,0.015,0.019,-1.607,-0.015,0.107,324.5
-0.008,-0.008,0.011,-1.606,-0.014,0.108,324.5
-0.074,-0.007,0.003,-1.606,-0.013,0.11,324.5
-0.027,0.02,0.027,-1.608,-0.017,0.112,324.5
-0.024,0.016,0.001,-1.609,-0.019,0.113,324.5
0.031,0.005,0.016,-1.608,-0.02,0.115,324.5
0.011,-0.018,0.025,-1.609,-0.018,0.116,324.5
-0.01,0.005,0.004,-1.611,-0.017,0.117,324.5
0.007,0.057,0.023,-1.611,-0.022,0.117,324.5
0.009,0.073,0.013,-1.611,-0.032,0.115,324.5
0.043,0.075,0.003,-1.611,-0.038,0.114,324.5
-0.004,0.053,0.002,-1.611,-0.045,0.112,324.5
-0.026,0.034,0.022,-1.612,-0.051,0.111,324.5
-0.001,0.029,0.007,-1.612,-0.052,0.111,324.5
-0.003,0.003,0.014,-1.614,-0.051,0.111,324.5
0.008,-0.001,0.014,-1.613,-0.051,0.111,324.5
0.031,0.007,0.01,-1.614,-0.051,0.11,324.5
-0.0,-0.002,0.011,-1.613,-0.051,0.11,324.5
-0.022,0.015,0.006,-1.613,-0.052,0.11,324.5
-0.015,0.029,0.009,-1.614,-0.053,0.109,324.5
-0.014,0.007,-0.001,-1.615,-0.052,0.109,324.5
-0.027,-0.005,0.007,-1.615,-0.051,0.109,324.5
-0.036,-0.018,0.001,-1.616,-0.052,0.109,324.5
-0.017,-0.026,0.003,-1.616,-0.049,0.109,324.5
0.039,-0.001,-0.003,-1.616,-0.047,0.11,324.5
0.014,0.006,-0.024,-1.613,-0.046,0.11,324.5
-0.038,-0.01,-0.042,-1.611,-0.046,0.111,324.5
-0.062,-0.012,-0.066,-1.607,-0.044,0.112,324.5
-0.052,-0.015,-0.07,-1.6,-0.045,0.113,324.5
0.016,-0.003,-0.059,-1.594,-0.043,0.114,324.5
